Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
PIGT,Phosphatidylinositol Glycan Anchor Biosynthesis Class T,Protein Coding,Q969N2,52,GC20P045416,0.88,
NELL1,Neural EGFL Like 1,Protein Coding,Q92832,51,GC11P020669,0.88,
SNX27,Sorting Nexin 27,Protein Coding,Q96L92,51,GC01P176547,0.88,
CD1C,CD1c Molecule,Protein Coding,P29017,50,GC01P158289,0.88,
KIFC1,Kinesin Family Member C1,Protein Coding,Q9BW19,50,GC06P033391,0.88,
TUT7,Terminal Uridylyl Transferase 7,Protein Coding,Q5VYS8,47,GC09M121712,0.88,
ZBTB2,Zinc Finger And BTB Domain Containing 2,Protein Coding,Q8N680,44,GC06M151364,0.88,
DNAJB3,DnaJ Heat Shock Protein Family (Hsp40) Member B3,Pseudogene,Q8WWF6,30,GC02M233742,0.88,
MIR2681,MicroRNA 2681,RNA Gene (miRNA),,14,GC13M101967,0.88,
GP5,Glycoprotein V Platelet,Protein Coding,P40197,52,GC03M194395,0.88,
COL8A2,Collagen Type VIII Alpha 2 Chain,Protein Coding,P25067,51,GC01M036095,0.88,
CEP162,Centrosomal Protein 162,Protein Coding,Q5TB80,44,GC06M084124,0.88,
ZNF618,Zinc Finger Protein 618,Protein Coding,Q5T7W0,42,GC09P113876,0.88,
ABTB1,Ankyrin Repeat And BTB Domain Containing 1,Protein Coding,Q969K4,41,GC03P127672,0.88,
TMEM184A,Transmembrane Protein 184A,Protein Coding,Q6ZMB5,38,GC07M001542,0.88,
POLR1HASP,"POLR1H Antisense, Pseudogene",Pseudogene,,27,GC06M110866,0.88,
LPCAT2,Lysophosphatidylcholine Acyltransferase 2,Protein Coding,Q7L5N7,53,GC16P121569,0.88,
PPM1N,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1N (Putative)",Protein Coding,Q8N819,37,GC19P045488,0.88,
ITK,IL2 Inducible T Cell Kinase,Protein Coding,Q08881,64,GC05P159566,0.88,
KRT81,Keratin 81,Protein Coding,Q14533,50,GC12M052291,0.88,
COPRS,Coordinator Of PRMT5 And Differentiation Stimulator,Protein Coding,Q9NQ92,40,GC17M031851,0.88,
RAPGEF4,Rap Guanine Nucleotide Exchange Factor 4,Protein Coding,Q8WZA2,54,GC02P172735,0.88,
LOC108660406,Ataxin 7 Repeat Instability Region,Functional Element,,7,GC03P065357,0.88,
PLA2G5,Phospholipase A2 Group V,Protein Coding,P39877,51,GC01P020028,0.88,
SAP30BP,SAP30 Binding Protein,Protein Coding,Q9UHR5,47,GC17P075667,0.88,
MIR1306,MicroRNA 1306,RNA Gene (miRNA),,25,GC22P020086,0.88,
NME5,NME/NM23 Family Member 5,Protein Coding,P56597,49,GC05M138115,0.88,
RWDD1,RWD Domain Containing 1,Protein Coding,Q9H446,45,GC06P116571,0.88,
MIR138-2,MicroRNA 138-2,RNA Gene (miRNA),,26,GC16P121612,0.88,
HVCN1,Hydrogen Voltage Gated Channel 1,Protein Coding,Q96D96,50,GC12M110627,0.88,
PLCB2,Phospholipase C Beta 2,Protein Coding,Q00722,55,GC15M040278,0.88,
SUFU,SUFU Negative Regulator Of Hedgehog Signaling,Protein Coding,Q9UMX1,55,GC10P124493,0.88,
PITPNM1,Phosphatidylinositol Transfer Protein Membrane Associated 1,Protein Coding,O00562,50,GC11M139872,0.87,
CDCP1,CUB Domain Containing Protein 1,Protein Coding,Q9H5V8,50,GC03M045082,0.87,
COG7,Component Of Oligomeric Golgi Complex 7,Protein Coding,P83436,50,GC16M023388,0.87,
DYNC2LI1,Dynein Cytoplasmic 2 Light Intermediate Chain 1,Protein Coding,Q8TCX1,51,GC02P045313,0.87,
SYNE3,Spectrin Repeat Containing Nuclear Envelope Family Member 3,Protein Coding,Q6ZMZ3,47,GC14M124266,0.87,
GMNC,Geminin Coiled-Coil Domain Containing,Protein Coding,A6NCL1,40,GC03M190852,0.87,
VWA8,Von Willebrand Factor A Domain Containing 8,Protein Coding,A3KMH1,45,GC13M043111,0.87,
TNIP1,TNFAIP3 Interacting Protein 1,Protein Coding,Q15025,51,GC05M151029,0.87,
PHF5A,PHD Finger Protein 5A,Protein Coding,Q7RTV0,47,GC22M041459,0.87,
EFNA5,Ephrin A5,Protein Coding,P52803,57,GC05M107376,0.87,
MAU2,MAU2 Sister Chromatid Cohesion Factor,Protein Coding,Q9Y6X3,47,GC19P019320,0.87,
FAM120AOS,Family With Sequence Similarity 120 Member A Opposite Strand,Protein Coding,Q5T036,41,GC09M093431,0.87,
EIF6,Eukaryotic Translation Initiation Factor 6,Protein Coding,P56537,52,GC20M035278,0.87,
SMNDC1,Survival Motor Neuron Domain Containing 1,Protein Coding,O75940,49,GC10M110290,0.87,
CRYBA2,Crystallin Beta A2,Protein Coding,P53672,48,GC02M218990,0.87,
MYO15A,Myosin XVA,Protein Coding,Q9UKN7,48,GC17P018108,0.87,
ATRIP-TREX1,ATRIP-TREX1 Readthrough,RNA Gene (ncRNA),,12,GC03P064967,0.87,
TTBK1,Tau Tubulin Kinase 1,Protein Coding,Q5TCY1,52,GC06P043243,0.87,
SCARNA15,Small Cajal Body-Specific RNA 15,RNA Gene (scaRNA),,16,GC15P193705,0.87,
TNFSF14,TNF Superfamily Member 14,Protein Coding,O43557,53,GC19M107970,0.87,
CUTC,CutC Copper Transporter,Protein Coding,Q9NTM9,47,GC10P099702,0.87,
ANKRD50,Ankyrin Repeat Domain Containing 50,Protein Coding,Q9ULJ7,46,GC04M124664,0.87,
RABEP1,"Rabaptin, RAB GTPase Binding Effector Protein 1",Protein Coding,Q15276,52,GC17P005282,0.87,
TNNC2,"Troponin C2, Fast Skeletal Type",Protein Coding,P02585,50,GC20M045823,0.87,
FGF5,Fibroblast Growth Factor 5,Protein Coding,P12034,57,GC04P080266,0.87,
CA14,Carbonic Anhydrase 14,Protein Coding,Q9ULX7,55,GC01P176478,0.87,
ASPM,Assembly Factor For Spindle Microtubules,Protein Coding,Q8IZT6,50,GC01M197084,0.87,
WDR4,WDR4 TRNA N7-Guanosine Methyltransferase Non-Catalytic Subunit,Protein Coding,P57081,50,GC21M042843,0.87,
NFIL3,"Nuclear Factor, Interleukin 3 Regulated",Protein Coding,Q16649,48,GC09M121871,0.87,
UTP6,UTP6 Small Subunit Processome Component,Protein Coding,Q9NYH9,47,GC17M031860,0.87,
ZNF687,Zinc Finger Protein 687,Protein Coding,Q8N1G0,47,GC01P151281,0.87,
CTIF,Cap Binding Complex Dependent Translation Initiation Factor,Protein Coding,O43310,38,GC18P048539,0.87,
MLPH,Melanophilin,Protein Coding,Q9BV36,54,GC02P237485,0.87,
UGT3A2,UDP Glycosyltransferase Family 3 Member A2,Protein Coding,Q3SY77,48,GC05M036765,0.86,
MIR495,MicroRNA 495,RNA Gene (miRNA),,25,GC14P121385,0.86,
TOX4,TOX High Mobility Group Box Family Member 4,Protein Coding,O94842,42,GC14P021476,0.86,
CLIP2,CAP-Gly Domain Containing Linker Protein 2,Protein Coding,Q9UDT6,52,GC07P074289,0.86,
PTPRG,Protein Tyrosine Phosphatase Receptor Type G,Protein Coding,P23470,55,GC03P061561,0.86,
MALSU1,Mitochondrial Assembly Of Ribosomal Large Subunit 1,Protein Coding,Q96EH3,43,GC07P024809,0.86,
ZGPAT,Zinc Finger CCCH-Type And G-Patch Domain Containing,Protein Coding,Q8N5A5,46,GC20P063707,0.86,
EPB41L4A-AS1,EPB41L4A Antisense RNA 1,RNA Gene (lncRNA),,19,GC05P112160,0.86,
KLF12,KLF Transcription Factor 12,Protein Coding,Q9Y4X4,48,GC13M073686,0.86,
KMT5C,Lysine Methyltransferase 5C,Protein Coding,Q86Y97,48,GC19P153131,0.86,
ZNF609,Zinc Finger Protein 609,Protein Coding,O15014,42,GC15P200895,0.86,
G6PC3,Glucose-6-Phosphatase Catalytic Subunit 3,Protein Coding,Q9BUM1,54,GC17P044070,0.86,
ULK4,Unc-51 Like Kinase 4,Protein Coding,Q96C45,49,GC03M041247,0.86,
GLYAT,Glycine-N-Acyltransferase,Protein Coding,Q6IB77,49,GC11M139525,0.86,
ANKRD11,Ankyrin Repeat Domain Containing 11,Protein Coding,Q6UB99,50,GC16M089267,0.86,
IDO2,"Indoleamine 2,3-Dioxygenase 2",Protein Coding,Q6ZQW0,52,GC08P044834,0.86,
PIBF1,Progesterone Immunomodulatory Binding Factor 1,Protein Coding,Q8WXW3,55,GC13P072782,0.86,
NR2C1,Nuclear Receptor Subfamily 2 Group C Member 1,Protein Coding,P13056,51,GC12M095022,0.86,
TGFBR3,Transforming Growth Factor Beta Receptor 3,Protein Coding,Q03167,60,GC01M091680,0.86,
SARS1,Seryl-TRNA Synthetase 1,Protein Coding,P49591,55,GC01P111854,0.85,
SLC27A3,Solute Carrier Family 27 Member 3,Protein Coding,Q5K4L6,50,GC01P176662,0.85,
MIR3613,MicroRNA 3613,RNA Gene (miRNA),,22,GC13M049996,0.85,
LMX1B,LIM Homeobox Transcription Factor 1 Beta,Protein Coding,O60663,55,GC09P152732,0.85,
RUBCN,Rubicon Autophagy Regulator,Protein Coding,Q92622,52,GC03M199188,0.85,
BOLA2,BolA Family Member 2,Protein Coding,Q9H3K6,41,GC16M050968,0.85,
MED14,Mediator Complex Subunit 14,Protein Coding,O60244,48,GC0XM040648,0.85,
GRK6,G Protein-Coupled Receptor Kinase 6,Protein Coding,P43250,57,GC05P177403,0.85,
POLR2M,RNA Polymerase II Subunit M,Protein Coding,Q6EEV4,43,GC15P057706,0.85,
LRRC37A3,Leucine Rich Repeat Containing 37 Member A3,Protein Coding,O60309,42,GC17M064854,0.85,
RGS19,Regulator Of G Protein Signaling 19,Protein Coding,P49795,52,GC20M064073,0.85,
LOC129931597,ATAC-STARR-Seq Lymphoblastoid Silent Region 1421,Functional Element,,10,GC01P178835,0.85,
PLEKHB2,Pleckstrin Homology Domain Containing B2,Protein Coding,Q96CS7,47,GC02P154465,0.85,
WDR47,WD Repeat Domain 47,Protein Coding,O94967,46,GC01M108970,0.85,
NBPF11,NBPF Member 11,Protein Coding,Q86T75,39,GC01M148102,0.85,
NBPF12,NBPF Member 12,Protein Coding,Q5TAG4,38,GC01P146938,0.85,
NBPF10,NBPF Member 10,Protein Coding,Q6P3W6,37,GC01M146064,0.85,
NBPF9,NBPF Member 9,Protein Coding,P0DPF3,34,GC01M167159,0.85,
ZNF384,Zinc Finger Protein 384,Protein Coding,Q8TF68,46,GC12M035659,0.85,
NPAS3,Neuronal PAS Domain Protein 3,Protein Coding,Q8IXF0,52,GC14P032934,0.85,
EPN2,Epsin 2,Protein Coding,O95208,50,GC17P019215,0.85,
TNNI1,"Troponin I1, Slow Skeletal Type",Protein Coding,P19237,52,GC01M201404,0.85,
AP4B1,Adaptor Related Protein Complex 4 Subunit Beta 1,Protein Coding,Q9Y6B7,51,GC01M113894,0.85,
HAGLROS,HAGLR Opposite Strand LncRNA,RNA Gene (lncRNA),,21,GC02P176456,0.85,
PIGK,Phosphatidylinositol Glycan Anchor Biosynthesis Class K,Protein Coding,Q92643,56,GC01M077088,0.85,
APCS,"Amyloid P Component, Serum",Protein Coding,P02743,55,GC01P159587,0.85,
GPAA1,Glycosylphosphatidylinositol Anchor Attachment 1,Protein Coding,O43292,54,GC08P144082,0.85,
CCNT2,Cyclin T2,Protein Coding,O60583,47,GC02P134918,0.85,
ZSCAN25,Zinc Finger And SCAN Domain Containing 25,Protein Coding,Q6NSZ9,40,GC07P110732,0.85,
GHDC,GH3 Domain Containing,Protein Coding,Q8N2G8,39,GC17M042188,0.85,
ZBTB32,Zinc Finger And BTB Domain Containing 32,Protein Coding,Q9Y2Y4,45,GC19P152395,0.85,
HPR,Haptoglobin-Related Protein,Protein Coding,P00739,51,GC16P122100,0.85,
VPS9D1-AS1,VPS9D1 Antisense RNA 1,RNA Gene (lncRNA),,20,GC16P089711,0.85,
TNFRSF10D,TNF Receptor Superfamily Member 10d,Protein Coding,Q9UBN6,53,GC08M023135,0.84,
IL15RA,Interleukin 15 Receptor Subunit Alpha,Protein Coding,Q13261,52,GC10M005943,0.84,
RBBP5,"RB Binding Protein 5, Histone Lysine Methyltransferase Complex Subunit",Protein Coding,Q15291,50,GC01M205055,0.84,
PITPNM2,Phosphatidylinositol Transfer Protein Membrane Associated 2,Protein Coding,Q9BZ72,44,GC12M122983,0.84,
MIR4435-2HG,MIR4435-2 Host Gene,RNA Gene (lncRNA),,25,GC02M114077,0.84,
PRR7-AS1,PRR7 Antisense RNA 1,RNA Gene (lncRNA),,19,GC05M183285,0.84,
HLA-S,"Major Histocompatibility Complex, Class I, S (Pseudogene)",Pseudogene,,15,GC06M031381,0.84,
MHRT,Myosin Heavy Chain Associated RNA Transcript,RNA Gene (lncRNA),,22,GC14P059815,0.84,
DPM2,"Dolichyl-Phosphate Mannosyltransferase Subunit 2, Regulatory",Protein Coding,O94777,49,GC09M127935,0.84,
VANGL1,VANGL Planar Cell Polarity Protein 1,Protein Coding,Q8TAA9,54,GC01P115641,0.84,
MIR3944,MicroRNA 3944,RNA Gene (miRNA),,20,GC10M133371,0.84,
ARHGAP32,Rho GTPase Activating Protein 32,Protein Coding,A7KAX9,52,GC11M128965,0.84,
NOC3L,NOC3 Like DNA Replication Regulator,Protein Coding,Q8WTT2,45,GC10M094333,0.84,
LOC112533667,Sharpr-MPRA Regulatory Region 86,Functional Element,,5,GC17P155561,0.84,
TIMM17B,Translocase Of Inner Mitochondrial Membrane 17B,Protein Coding,O60830,45,GC0XM048893,0.84,
WNT11,Wnt Family Member 11,Protein Coding,O96014,55,GC11M076186,0.84,
PRPF3,Pre-MRNA Processing Factor 3,Protein Coding,O43395,54,GC01P150321,0.84,
NADSYN1,NAD Synthetase 1,Protein Coding,Q6IA69,52,GC11P108107,0.84,
LMBR1,Limb Development Membrane Protein 1,Protein Coding,Q8WVP7,50,GC07M156668,0.84,
IL25,Interleukin 25,Protein Coding,Q9H293,49,GC14P057554,0.84,
NHLRC2,NHL Repeat Containing 2,Protein Coding,Q8NBF2,47,GC10P113854,0.84,
DALRD3,DALR Anticodon Binding Domain Containing 3,Protein Coding,Q5D0E6,45,GC03M049015,0.84,
GSE1,Gse1 Coiled-Coil Protein,Protein Coding,Q14687,46,GC16P122516,0.84,
ULK2,Unc-51 Like Autophagy Activating Kinase 2,Protein Coding,Q8IYT8,54,GC17M096546,0.84,
PIK3C2B,Phosphatidylinositol-4-Phosphate 3-Kinase Catalytic Subunit Type 2 Beta,Protein Coding,O00750,58,GC01M204422,0.84,
MIR342,MicroRNA 342,RNA Gene (miRNA),,30,GC14P100109,0.84,
RBFOX2,RNA Binding Fox-1 Homolog 2,Protein Coding,O43251,52,GC22M035738,0.84,
PUS7,Pseudouridine Synthase 7,Protein Coding,Q96PZ0,51,GC07M105439,0.84,
SERPINB9,Serpin Family B Member 9,Protein Coding,P50453,51,GC06M002887,0.84,
WIPI2,"WD Repeat Domain, Phosphoinositide Interacting 2",Protein Coding,Q9Y4P8,54,GC07P005190,0.83,
SNORD80,"Small Nucleolar RNA, C/D Box 80",RNA Gene (snoRNA),,16,GC01M175147,0.83,
GPR68,G Protein-Coupled Receptor 68,Protein Coding,Q15743,54,GC14M091232,0.83,
TLNRD1,Talin Rod Domain Containing 1,Protein Coding,Q9H1K6,40,GC15P193641,0.83,
MRPL45,Mitochondrial Ribosomal Protein L45,Protein Coding,Q9BRJ2,44,GC17P038297,0.83,
POTEJ,POTE Ankyrin Domain Family Member J,Protein Coding,P0CG39,33,GC02P130611,0.83,
GNL2,G Protein Nucleolar 2,Protein Coding,Q13823,42,GC01M037566,0.83,
MRPS30,Mitochondrial Ribosomal Protein S30,Protein Coding,Q9NP92,46,GC05P044808,0.83,
KGD4,Alpha-Ketoglutarate Dehydrogenase Subunit 4,Protein Coding,P82909,42,GC05P083188,0.83,
C19orf48P,"Chromosome 19 Open Reading Frame 48, Pseudogene",Pseudogene,,36,GC19M050797,0.83,
CCDC50,Coiled-Coil Domain Containing 50,Protein Coding,Q8IVM0,50,GC03P191329,0.83,
FOXN2,Forkhead Box N2,Protein Coding,P32314,44,GC02P048314,0.83,
GTPBP2,GTP Binding Protein 2,Protein Coding,Q9BX10,51,GC06M043605,0.83,
CD93,CD93 Molecule,Protein Coding,Q9NPY3,52,GC20M023067,0.83,
NLRC5,NLR Family CARD Domain Containing 5,Protein Coding,Q86WI3,48,GC16P121616,0.83,
POLR1F,RNA Polymerase I Subunit F,Protein Coding,Q3B726,42,GC07M019695,0.83,
DIAPH2,Diaphanous Related Formin 2,Protein Coding,O60879,54,GC0XP096684,0.83,
AGAP2,"ArfGAP With GTPase Domain, Ankyrin Repeat And PH Domain 2",Protein Coding,Q99490,52,GC12M057723,0.83,
STRN4,Striatin 4,Protein Coding,Q9NRL3,49,GC19M046719,0.83,
SPTBN5,"Spectrin Beta, Non-Erythrocytic 5",Protein Coding,Q9NRC6,47,GC15M041848,0.83,
DCAF8,DDB1 And CUL4 Associated Factor 8,Protein Coding,Q5TAQ9,49,GC01M160215,0.82,
SH2D4B,SH2 Domain Containing 4B,Protein Coding,Q5SQS7,40,GC10P123927,0.82,
XPR1,Xenotropic And Polytropic Retrovirus Receptor 1,Protein Coding,Q9UBH6,54,GC01P180632,0.82,
CTRB2,Chymotrypsinogen B2,Protein Coding,Q6GPI1,47,GC16M075204,0.82,
PALS2,"Protein Associated With LIN7 2, MAGUK P55 Family Member",Protein Coding,Q9NZW5,42,GC07P024864,0.82,
MAPT-AS1,MAPT Antisense RNA 1,RNA Gene (lncRNA),,26,GC17M045799,0.82,
MOB3B,MOB Kinase Activator 3B,Protein Coding,Q86TA1,48,GC09M030153,0.82,
ZNF778,Zinc Finger Protein 778,Protein Coding,Q96MU6,43,GC16P089217,0.82,
PHACTR4,Phosphatase And Actin Regulator 4,Protein Coding,Q8IZ21,42,GC01P028369,0.82,
ZNF778-DT,ZNF778 Divergent Transcript,RNA Gene (lncRNA),,14,GC16M089382,0.82,
URI1,URI1 Prefoldin Like Chaperone,Protein Coding,O94763,46,GC19P029923,0.82,
CCR10,C-C Motif Chemokine Receptor 10,Protein Coding,P46092,48,GC17M042678,0.82,
NTNG1,Netrin G1,Protein Coding,Q9Y2I2,54,GC01P107140,0.82,
CEP19,Centrosomal Protein 19,Protein Coding,Q96LK0,45,GC03M196706,0.82,
RORB,RAR Related Orphan Receptor B,Protein Coding,Q92753,58,GC09P074497,0.82,
MTCH1,Mitochondrial Carrier 1,Protein Coding,Q9NZJ7,46,GC06M106638,0.82,
KANSL3,KAT8 Regulatory NSL Complex Subunit 3,Protein Coding,Q9P2N6,47,GC02M102318,0.82,
LOC110673974,CYP2A6 5' Regulatory Region,Functional Element,,2,GC19P152551,0.82,
PARP12,Poly(ADP-Ribose) Polymerase Family Member 12,Protein Coding,Q9H0J9,45,GC07M140023,0.82,
KCNK9,Potassium Two Pore Domain Channel Subfamily K Member 9,Protein Coding,Q9NPC2,58,GC08M139585,0.82,
SHARPIN,SHANK Associated RH Domain Interactor,Protein Coding,Q9H0F6,51,GC08M144098,0.82,
TKTL1,Transketolase Like 1,Protein Coding,P51854,50,GC0XP154295,0.82,
RAB4A,"RAB4A, Member RAS Oncogene Family",Protein Coding,P20338,54,GC01P229271,0.82,
DCAF7,DDB1 And CUL4 Associated Factor 7,Protein Coding,P61962,48,GC17P063550,0.82,
AAVS1,Adeno-Associated Virus Integration Site 1,Genetic Locus,,10,GC19U990001,0.82,
IMP4,IMP U3 Small Nucleolar Ribonucleoprotein 4,Protein Coding,Q96G21,41,GC02P130342,0.82,
LOC109504728,Chromosome 9 Open Reading Frame 72 Repeat Instability Region,Functional Element,,10,GC09P027737,0.82,
HYDIN,HYDIN Axonemal Central Pair Apparatus Protein,Protein Coding,Q4G0P3,51,GC16M075152,0.82,
SELENOV,Selenoprotein V,Protein Coding,P59797,37,GC19P152485,0.82,
EHD2,EH Domain Containing 2,Protein Coding,Q9NZN4,48,GC19P047713,0.82,
SNORD29,"Small Nucleolar RNA, C/D Box 29",RNA Gene (snoRNA),,20,GC11M062853,0.82,
MIR654,MicroRNA 654,RNA Gene (miRNA),,28,GC14P121390,0.82,
MAN1B1,Mannosidase Alpha Class 1B Member 1,Protein Coding,Q9UKM7,60,GC09P137086,0.82,
MTERF3,Mitochondrial Transcription Termination Factor 3,Protein Coding,Q96E29,42,GC08M096240,0.81,
GPR89A,G Protein-Coupled Receptor 89A,Protein Coding,B7ZAQ6,44,GC01P145607,0.81,
PAX2,Paired Box 2,Protein Coding,Q02962,58,GC10P100735,0.81,
SLC6A17,Solute Carrier Family 6 Member 17,Protein Coding,Q9H1V8,52,GC01P110150,0.81,
IL17B,Interleukin 17B,Protein Coding,Q9UHF5,50,GC05M149371,0.81,
MX2,MX Dynamin Like GTPase 2,Protein Coding,P20592,49,GC21P041361,0.81,
SLC7A4,Solute Carrier Family 7 Member 4,Protein Coding,O43246,48,GC22M021028,0.81,
ALX3,ALX Homeobox 3,Protein Coding,O95076,46,GC01M110059,0.81,
FPGT-TNNI3K,FPGT-TNNI3K Readthrough,Protein Coding,,28,GC01P074198,0.81,
MIR1225,MicroRNA 1225,RNA Gene (miRNA),,24,GC16M002090,0.81,
PCDH10,Protocadherin 10,Protein Coding,Q9P2E7,52,GC04P133149,0.81,
MIR3196,MicroRNA 3196,RNA Gene (miRNA),,14,GC20P069255,0.81,
CPSF4,Cleavage And Polyadenylation Specific Factor 4,Protein Coding,O95639,50,GC07P099438,0.81,
FCAR,Fc Alpha Receptor,Protein Coding,P24071,52,GC19P153120,0.81,
DPP10,Dipeptidyl Peptidase Like 10,Protein Coding,Q8N608,55,GC02P114442,0.81,
TRAPPC9,Trafficking Protein Particle Complex Subunit 9,Protein Coding,Q96Q05,51,GC08M139728,0.81,
RPS6KB2,Ribosomal Protein S6 Kinase B2,Protein Coding,Q9UBS0,58,GC11P067428,0.81,
TRIM31,Tripartite Motif Containing 31,Protein Coding,Q9BZY9,48,GC06M106389,0.81,
HBQ1,Hemoglobin Subunit Theta 1,Protein Coding,P09105,46,GC16P120099,0.81,
SYNRG,Synergin Gamma,Protein Coding,Q9UMZ2,44,GC17M037514,0.81,
KBTBD4,Kelch Repeat And BTB Domain Containing 4,Protein Coding,Q9NVX7,42,GC11M139457,0.81,
USP50,Ubiquitin Specific Peptidase 50,Protein Coding,Q70EL3,42,GC15M050493,0.81,
MIR4488,MicroRNA 4488,RNA Gene (miRNA),,14,GC11P061508,0.81,
SLC25A44,Solute Carrier Family 25 Member 44,Protein Coding,Q96H78,44,GC01P176815,0.81,
DDX28,DEAD-Box Helicase 28,Protein Coding,Q9NUL7,46,GC16M075003,0.81,
NECAB2,N-Terminal EF-Hand Calcium Binding Protein 2,Protein Coding,Q7Z6G3,45,GC16P122413,0.81,
MIR7-2,MicroRNA 7-2,RNA Gene (miRNA),,23,GC15P088611,0.81,
SGMS1,Sphingomyelin Synthase 1,Protein Coding,Q86VZ5,50,GC10M050305,0.81,
MRPL24,Mitochondrial Ribosomal Protein L24,Protein Coding,Q96A35,46,GC01M156737,0.81,
C1QTNF12,C1q And TNF Related 12,Protein Coding,Q5T7M4,40,GC01M022159,0.81,
LIPT2,Lipoyl(Octanoyl) Transferase 2,Protein Coding,A6NK58,46,GC11M140056,0.81,
SLC25A53,Solute Carrier Family 25 Member 53,Protein Coding,Q5H9E4,38,GC0XM104099,0.81,
ENSG00000276861,5S Ribosomal RNA,RNA Gene (rRNA),,13,GC02P089600,0.81,
PIK3R5,Phosphoinositide-3-Kinase Regulatory Subunit 5,Protein Coding,Q8WYR1,56,GC17M008878,0.81,
NAF1,Nuclear Assembly Factor 1 Ribonucleoprotein,Protein Coding,Q96HR8,46,GC04M163109,0.81,
SNRNP27,Small Nuclear Ribonucleoprotein U4/U6.U5 Subunit 27,Protein Coding,Q8WVK2,42,GC02P069893,0.81,
CCDC86,Coiled-Coil Domain Containing 86,Protein Coding,Q9H6F5,39,GC11P107372,0.8,
IL21,Interleukin 21,Protein Coding,Q9HBE4,57,GC04M122612,0.8,
UBD,Ubiquitin D,Protein Coding,O15205,50,GC06M106351,0.8,
CMPK1,Cytidine/Uridine Monophosphate Kinase 1,Protein Coding,P30085,52,GC01P047333,0.8,
CEP55,Centrosomal Protein 55,Protein Coding,Q53EZ4,54,GC10P093496,0.8,
MORF4L2,Mortality Factor 4 Like 2,Protein Coding,Q15014,48,GC0XM103675,0.8,
SPRR2B,Small Proline Rich Protein 2B,Protein Coding,P35325,38,GC01M153070,0.8,
ELOVL3,ELOVL Fatty Acid Elongase 3,Protein Coding,Q9HB03,46,GC10P124469,0.8,
SPEF2,Sperm Flagellar 2,Protein Coding,Q9C093,47,GC05P035618,0.8,
PFDN2,Prefoldin Subunit 2,Protein Coding,Q9UHV9,45,GC01M161100,0.8,
PAN3,Poly(A) Specific Ribonuclease Subunit PAN3,Protein Coding,Q58A45,41,GC13P029000,0.8,
MRPL14,Mitochondrial Ribosomal Protein L14,Protein Coding,Q6P1L8,41,GC06M044113,0.8,
MRPL48,Mitochondrial Ribosomal Protein L48,Protein Coding,Q96GC5,45,GC11P073787,0.8,
C1QTNF5,C1q And TNF Related 5,Protein Coding,Q9BXJ0,50,GC11M119338,0.8,
FSHB,Follicle Stimulating Hormone Subunit Beta,Protein Coding,P01225,57,GC11P030210,0.8,
RSPO3,R-Spondin 3,Protein Coding,Q9BXY4,51,GC06P127118,0.8,
SLC38A4,Solute Carrier Family 38 Member 4,Protein Coding,Q969I6,48,GC12M046764,0.8,
REPIN1,Replication Initiator 1,Protein Coding,Q9BWE0,46,GC07P150368,0.8,
NOP9,NOP9 Nucleolar Protein,Protein Coding,Q86U38,44,GC14P057574,0.8,
LEPROT,Leptin Receptor Overlapping Transcript,Protein Coding,O15243,42,GC01P065420,0.8,
MRGPRX3,MAS Related GPR Family Member X3,Protein Coding,Q96LB0,41,GC11P021386,0.8,
MIR1283-1,MicroRNA 1283-1,RNA Gene (miRNA),,18,GC19P053688,0.8,
PEG10,Paternally Expressed 10,Protein Coding,Q86TG7,52,GC07P094656,0.8,
KIF3B,Kinesin Family Member 3B,Protein Coding,O15066,52,GC20P032277,0.8,
MRPL49,Mitochondrial Ribosomal Protein L49,Protein Coding,Q13405,45,GC11P107782,0.8,
WDR44,WD Repeat Domain 44,Protein Coding,Q5JSH3,44,GC0XP118346,0.8,
EMILIN1,Elastin Microfibril Interfacer 1,Protein Coding,Q9Y6C2,49,GC02P027078,0.8,
KYNU,Kynureninase,Protein Coding,Q16719,61,GC02P142877,0.8,
IP6K3,Inositol Hexakisphosphate Kinase 3,Protein Coding,Q96PC2,43,GC06M033721,0.8,
NDFIP1,Nedd4 Family Interacting Protein 1,Protein Coding,Q9BT67,48,GC05P142108,0.8,
SF3B5,Splicing Factor 3b Subunit 5,Protein Coding,Q9BWJ5,47,GC06M144094,0.8,
EFEMP1,EGF Containing Fibulin Extracellular Matrix Protein 1,Protein Coding,Q12805,56,GC02M055865,0.79,
MED15,Mediator Complex Subunit 15,Protein Coding,Q96RN5,52,GC22P091569,0.79,
UTS2R,Urotensin 2 Receptor,Protein Coding,Q9UKP6,53,GC17P155807,0.79,
PPP2R5B,Protein Phosphatase 2 Regulatory Subunit B'Beta,Protein Coding,Q15173,48,GC11P107760,0.79,
RPL3L,Ribosomal Protein L3 Like,Protein Coding,Q92901,48,GC16M001943,0.79,
PARVB,Parvin Beta,Protein Coding,Q9HBI1,48,GC22P043999,0.79,
DPH1,Diphthamide Biosynthesis 1,Protein Coding,Q9BZG8,52,GC17P002030,0.79,
PLEKHA1,Pleckstrin Homology Domain Containing A1,Protein Coding,Q9HB21,51,GC10P122374,0.79,
SCML2,Scm Polycomb Group Protein Like 2,Protein Coding,Q9UQR0,44,GC0XM018336,0.79,
