NAME	TITLE	SCORE	
C10orf67	C10orf67	0.13545248	
SMOC2	SMOC2	0.13541947	
C1orf115	C1orf115	0.13509843	
ARRDC4	ARRDC4	0.13475943	
ZFHX3	ZFHX3	0.13449185	
JPH2	JPH2	0.13432543	
DSEL	DSEL	0.13420078	
SFRP1	SFRP1	0.13416019	
APOLD1	APOLD1	0.13403532	
ADAM12	ADAM12	0.13390732	
TRIM29	TRIM29	0.13378693	
PARD6G	PARD6G	0.13368982	
PLK2	PLK2	0.1336518	
ADAMTS8	ADAMTS8	0.13356446	
GJA5	GJA5	0.13351497	
CAMK2N1	CAMK2N1	0.13349117	
PTBP2	PTBP2	0.13334687	
RAB4A	RAB4A	0.13329998	
GNA14	GNA14	0.13313217	
LEP	LEP	0.1330831	
DNAAF2	DNAAF2	0.13304329	
NAV2	NAV2	0.1330243	
GPAM	GPAM	0.13289651	
LDOC1	LDOC1	0.1328921	
CD163	CD163	0.13288365	
CYP26A1	CYP26A1	0.13280317	
SLC7A4	SLC7A4	0.13257423	
SORT1	SORT1	0.13256995	
TMEM31	TMEM31	0.13246661	
IDH2	IDH2	0.13242686	
SVIL	SVIL	0.13238071	
SMAD3	SMAD3	0.13229387	
FSTL3	FSTL3	0.13224612	
CPEB2	CPEB2	0.1322051	
FCMR	FCMR	0.13201244	
CMTM8	CMTM8	0.13177589	
EXTL3	EXTL3	0.13176885	
ASAP3	ASAP3	0.13173163	
HN1	HN1	0.13168009	
MALL	MALL	0.13155457	
PLXNB1	PLXNB1	0.13135344	
PLS3	PLS3	0.13127844	
S1PR1	S1PR1	0.13119975	
TCF7L1	TCF7L1	0.13119757	
LRIG3	LRIG3	0.13105708	
HOXA11	HOXA11	0.13104196	
SFTA2	SFTA2	0.13103563	
FAM71E1	FAM71E1	0.13096368	
EFNB1	EFNB1	0.13093989	
AMER1	AMER1	0.13073285	
CCDC102A	CCDC102A	0.1306236	
SH2D1B	SH2D1B	0.13048597	
CCDC146	CCDC146	0.13047154	
ADAMDEC1	ADAMDEC1	0.1302788	
FAM198B	FAM198B	0.13024054	
C1orf168	C1orf168	0.13015537	
FAM110D	FAM110D	0.12977669	
SLC35F2	SLC35F2	0.12970327	
SLC47A1	SLC47A1	0.12968627	
DMPK	DMPK	0.12954064	
ACE2	ACE2	0.129539	
NKAIN4	NKAIN4	0.12951447	
PCCA	PCCA	0.12946172	
VCAM1	VCAM1	0.12942868	
RUNDC3B	RUNDC3B	0.12929374	
SEMA3C	SEMA3C	0.12919308	
BOC	BOC	0.129169	
MAPKBP1	MAPKBP1	0.12914944	
LOXL1	LOXL1	0.12906182	
FAM81A	FAM81A	0.12893215	
SLCO2A1	SLCO2A1	0.12890182	
SHE	SHE	0.12869956	
SGCA	SGCA	0.12867674	
CDC42EP1	CDC42EP1	0.12862715	
DOCK5	DOCK5	0.12856103	
TNNT2	TNNT2	0.12850611	
GPC3	GPC3	0.12835868	
ZNF184	ZNF184	0.12834464	
ZAK	ZAK	0.12826027	
MLF1	MLF1	0.12817948	
PKDCC	PKDCC	0.1280485	
GSTM3	GSTM3	0.12793635	
VGLL3	VGLL3	0.12790193	
COX11	COX11	0.1276736	
SLPI	SLPI	0.1275806	
EFNA1	EFNA1	0.12756139	
LYVE1	LYVE1	0.12755448	
COL1A1	COL1A1	0.12752438	
TMEM97	TMEM97	0.12741391	
CYP46A1	CYP46A1	0.12733927	
ACOX2	ACOX2	0.12731944	
LRRC17	LRRC17	0.12719595	
DAPP1	DAPP1	0.12707943	
CACNA1C	CACNA1C	0.12703557	
CCIN	CCIN	0.12703136	
HN1L	HN1L	0.12702598	
ARHGAP20	ARHGAP20	0.12700951	
DLK1	DLK1	0.1269511	
PLCL1	PLCL1	0.12681746	
SPEG	SPEG	0.12677176	
PPP1R16B	PPP1R16B	0.12672289	
TIAM1	TIAM1	0.12663177	
HIPK3	HIPK3	0.12651756	
CDK8	CDK8	0.12646846	
MRGPRF-AS1	MRGPRF-AS1	0.12634493	
STOX2	STOX2	0.12630916	
SERPINF2	SERPINF2	0.12627359	
CDH26	CDH26	0.1262668	
COL15A1	COL15A1	0.12617506	
IGF2	IGF2	0.12610172	
